Value,Frequency
fz.battery,514
fz.on_off,229
fz.metering,126
fz.electrical_measurement,95
fz.ias_contact_alarm_1,82
fz.temperature,194
fz.ias_occupancy_alarm_1,67
fz.illuminance,48
fz.ias_water_leak_alarm_1,49
fz.thermostat,50
fz.command_step,38
fz.command_step_color_temperature,8
fz.command_recall,52
fz.command_off,126
fz.command_on,125
fz.command_stop,84
fz.command_move,82
fz.ias_occupancy_alarm_1_with_timeout,23
fz.ignore_basic_report,67
fz.ignore_iaszone_statuschange,2
fz.ignore_iaszone_attreport,3
fz.thermostat_weekly_schedule,7
fz.linkquality_from_basic,11
fz.command_arm,5
fz.command_panic,6
fz.command_step_hue,2
fz.command_step_saturation,2
fz.color_stop_raw,2
fz.scenes_recall_scene_65024,2
fz.ignore_genOta,12
fz.ias_siren,8
fz.cover_position_tilt,53
fz.nodon_pilot_wire_mode,3
fz.adeo_button_65024,1
fz.lock,29
fz.lock_operation_event,27
fz.lock_programming_event,21
fz.lock_pin_code_response,15
fz.humidity,74
fz.cover_position_via_brightness,39
fz.cover_state_via_onoff,13
fz.ias_smoke_alarm_1,28
fz.ias_wd,5
fz.ias_enroll,16
fz.ias_carbon_monoxide_alarm_1,7
fz.ias_keypad,2
fz.command_emergency,3
fz.ias_contact_alarm_1_report,8
fz.power_on_behavior,30
fz.command_move_to_color_temp,30
fz.command_move_to_color,23
fz.command_move_hue,12
fz.command_toggle,26
fz.command_color_loop_set,9
fz.command_ehanced_move_to_hue_and_saturation,10
fz.konke_action,2
legacy.fz.konke_click,2
legacy.fz.immax_07046L_arm,1
fz.ignore_iaszone_report,6
fz.CC2530ROUTER_led,1
fz.CC2530ROUTER_meta,1
fz.device_temperature,6
fz.ptvo_multistate_action,3
legacy.fz.ptvo_switch_buttons,3
fz.ptvo_switch_uart,1
fz.ptvo_switch_analog_input,2
fz.brightness,18
fz.DNCKAT_S00X_buttons,3
fz.ZigUP,1
fz.soil_moisture,9
fz.pressure,7
fz.SNZB02_temperature,1
fz.SNZB02_humidity,1
fz.ignore_zclversion_read,7
fz.ias_vibration_alarm_1,3
fz.occupancy,23
fz.co2,6
fz.command_move_color_temperature,5
fz.ewelink_action,2
fz.ignore_light_brightness_report,1
legacy.fz.scenes_recall_click,5
fz.ignore_power_report,4
fz.identify,26
legacy.fz.cmd_move,2
legacy.fz.cmd_move_with_onoff,2
legacy.fz.cmd_stop,2
legacy.fz.cmd_stop_with_onoff,2
legacy.fz.cmd_move_to_level_with_onoff,1
fz.E1524_E1810_toggle,1
fz.E1524_E1810_levelctrl,1
fz.ikea_arrow_click,2
fz.ikea_arrow_hold,2
fz.ikea_arrow_release,1
legacy.fz.genOnOff_cmdOn,18
legacy.fz.genOnOff_cmdOff,18
legacy.fz.E1743_brightness_up,1
legacy.fz.E1743_brightness_down,1
legacy.fz.E1743_brightness_stop,1
legacy.fz.E1744_play_pause,2
legacy.fz.E1744_skip,1
fz.tradfri_occupancy,1
fz.E1745_requested_brightness,1
fz.command_cover_close,14
legacy.fz.cover_close,1
fz.command_cover_open,14
legacy.fz.cover_open,1
fz.command_cover_stop,5
legacy.fz.cover_stop,1
fz.pm25,1
legacy.fz.hvac_user_interface,14
fz.ignore_temperature_report,6
fz.command_move_to_level,9
fz.rc_110_level_to_scene,1
fz.easycodetouch_action,7
fz.tint_scene,4
ubisys.fz.configure_device_setup,9
fz.lighting_ballast_configuration,10
fz.level_config,13
ubisys.fz.dimmer_setup,2
ubisys.fz.dimmer_setup_genLevelCtrl,2
legacy.fz.ubisys_c4_scenes,1
legacy.fz.ubisys_c4_onoff,1
legacy.fz.ubisys_c4_level,1
legacy.fz.ubisys_c4_cover,1
local.fz.outlet,1
local.fz.switch_operation_mode,4
local.fz.switch_action,4
local.fz.switch_status_led,4
fz.ZMCSW032D_cover_position,1
fz.fan,11
fz.ignore_multistate_report,3
fz.ignore_occupancy_report,7
fz.ignore_illuminance_report,4
fz.ignore_time_read,4
fz.ignore_metering,1
fz.ignore_electrical_measurement,1
fz.KAMI_contact,1
