Service,Count
fz.battery,509
light,471
philipsLight,462
tz.on_off,223
fz.on_off,222
fz.temperature,171
onOff,154
fz.ignore_basic_report,139
fz.command_off,133
fz.command_on,133
tuya.fz.datapoints,114
tuya.tz.datapoints,114
fz.metering,109
ledvanceLight,98
fz.electrical_measurement,97
fz.command_move,95
fz.command_stop,95
fz.humidity,90
gledoptoLight,80
fz.ias_contact_alarm_1,78
lumiZigbeeOTA,76
tuyaOnOff,73
tz.thermostat_occupied_heating_setpoint,66
tradfriLight,65
fz.ias_occupancy_alarm_1,60
tz.thermostat_local_temperature,60
tz.thermostat_system_mode,55
quirkCheckinInterval,54
fz.command_recall,52
fz.cover_position_tilt,51
tz.cover_state,51
tz.cover_position_tilt,50
fz.command_step,46
fz.illuminance,46
fz.thermostat,43
fz.identify,40
lumiPreventReset,40
fz.ias_water_leak_alarm_1,40
tz.power_on_behavior,33
tz.thermostat_running_state,33
fz.command_move_to_color_temp,31
tuyaLight,31
fz.power_on_behavior,30
fz.command_toggle,29
tz.thermostat_keypad_lockout,28
fz.ignore_genOta,24
fz.command_move_to_color,23
electricityMeter,22
lockExtend,21
tz.thermostat_local_temperature_calibration,21
tz.lock,20
fz.brightness,20
fz.lock,20
tz.thermostat_control_sequence_of_operation,20
tz.thermostat_unoccupied_heating_setpoint,20
fz.occupancy,20
tz.warning,19
tz.light_onoff_brightness,19
tz.legrand_identify,19
fz.ignore_tuya_set_time,18
tz.ballast_config,17
tz.battery_percentage_remaining,17
fz.lock_operation_event,17
mullerLichtLight,16
forcePowerSource,16
tz.thermostat_temperature_display_mode,16
fz.ias_smoke_alarm_1,15
tz.thermostat_weekly_schedule,15
tz.thermostat_clear_weekly_schedule,15
tz.electrical_measurement_power,15
tz.currentsummdelivered,15
fz.ias_enroll,14
fz.ignore_time_read,13
fz.command_move_hue,13
tz.pincode_lock,13
fz.ias_occupancy_alarm_1_with_timeout,13
legacy.tz.tuya_switch_state,13
tz.fan_mode,13
legacy.fz.hvac_user_interface,13
tz.metering_power,12
fz.level_config,12
tz.thermostat_occupancy,12
fz.linkquality_from_basic,12
tz.cover_via_brightness,12
fz.lock_pin_code_response,12
tuya.tz.power_on_behavior_1,12
tz.thermostat_occupied_cooling_setpoint,12
fz.device_temperature,12
fz.hvac_user_interface,12
tz.level_config,12
fz.lock_programming_event,12
fz.cover_position_via_brightness,12
fz.ias_occupancy_alarm_2,11
fz.command_move_to_level,11
fz.tuya_on_off_action,11
legacy.fz.tuya_switch,11
battery,11
fz.fan,11
fz.ias_contact_alarm_1_report,11
fz.command_step_color_temperature,11
fz.lighting_ballast_configuration,10
fz.thermostat_weekly_schedule,10
tz.thermostat_temperature_setpoint_hold,10
tz.thermostat_setpoint_raise_lower,10
fz.pressure,10
lumiLight,10
tz.legrand_device_mode,10
fz.sihas_action,10
sengledLight,10
develco.fz.metering,9
fz.soil_moisture,9
tz.ignore_transition,9
