Cluster Id,Frequency,,
0x0000,776,,860
0x0019,655,,
0x0006,626,,
0x0005,558,,
0x0003,783,,
0x0004,610,,
0x0008,459,,
0x0b05,298,,
0x0300,254,,
,,,
0x1000,288,,
16-02800-001-PRO_BDB-BDB-XML-PICS.xml,233,,
16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,200,,
0x0001,211,,
0x000A,178,,
0x0020,170,,
0x0102,170,,
0x0402,119,,
,,,
16-02615-002-PRO_GP-Proxy-Basic-XML-PICS.xml,92,,
0x0301,67,,
,,,
0x0400,55,,
,,,
0x0406,65,,
,,,
0x0500,36,,
docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format.xml,36,,
,,,
0x0502,27,,
header1.xml,24,,
document.xml,24,,
settings.xml,24,,
[Content_Types].xml,24,,
header2.xml,24,,
footer1.xml,24,,
theme1.xml,24,,
footer2.xml,24,,
app.xml,24,,
numbering.xml,24,,
core.xml,24,,
styles.xml,24,,
fontTable.xml,24,,
footer3.xml,24,,
item2.xml,23,,
itemProps1.xml,23,,
footer4.xml,23,,
header4.xml,23,,
itemProps2.xml,23,,
header3.xml,23,,
item1.xml,23,,
item4.xml,22,,
itemProps3.xml,22,,
item3.xml,22,,
itemProps4.xml,22,,
custom.xml,22,,
0x0b04,22,,
0x0702,21,,
,,,
,,,
._16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,19,,
0x0202-Fan-Control-ZCL8-XML-PICS.xml,19,,
0x0204,19,,
0x0201,18,,
webSettings.xml,18,,
footnotes.xml,18,,
endnotes.xml,18,,
0x0101-Door-Lock-Cluster-XML-PICS.xml,17,,
16-02800-005-PRO_BDB-BDB-XML-PICS.xml,15,,
people.xml,15,,
0x0202,12,,
0x0009,12,,
Meter CLuster & Electrical Measurement Only_ZHA.xml,10,,
Electrical Measurement & Meter Cluster Only ZHA.xml,10,,
._16-02800-005-PRO_BDB-BDB-XML-PICS.xml,9,,
0x0003-Identify-Cluster-XML-PICS-Gateway.xml,,,
._16-02800-001-PRO_BDB-BDB-XML-PICS.xml,9,,
19-02806-0x0b04-Electrical-Measurement-Cluster-XML-PICS.xml,8,,
0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 .xml,8,,
Only for ClusterID 0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 PICS in XML Format.xml,8,,
17-02839-000-0x0500-IAS-Zone-Cluster-XML-PICS.xml,8,,
commentsExtended.xml,7,,
comments.xml,7,,
0x0101,7,,
17-02870-005-Concentration-Measurement-ZCL8-XML-PICS.xml,6,,
16-02800-001-PRO_BDB-BDB-XML-PICS-Gateway.xml,6,,
._17-02846-001-0x000A-Time-Cluster-XML-PICS.xml,6,,
~$ly for ClusterID 0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 PICS in XML Format.xml,6,,
._~$ly for ClusterID 0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 PICS in XML Format.xml,6,,
._Only for ClusterID 0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 PICS in XML Format.xml,6,,
16-02800-001-PRO_BDB-BDB-XML-PICS - V3.0_2.xml,6,,
0x-17,6,,
0x- 16,6,,
0x-16,6,,
16-02822-003-0x0019-OTA-Cluster-XML-PICS.xml,5,,
